resort_slug,resort_name,resolution,candidates
"winter-park-resort","Winter Park Resort","sum-of-subareas","75874efd5bb5855626b85f572a022423b4bca50f:Summer Area Boundary Winter Park | e1ecf30641b9fcacec240124d73bcd5efef9c3fd:Winter Park Resort"
"las-lenas","Las Leñas","best-of-duplicates","84c9a76753ce83f7efd1065511e11e7c32f8348f:Las Leñas | dc51a892aa3a9085f98d5fa934d97104fb1044e5:Las Leñas"
"zieleniec","Zieleniec","best-of-duplicates","6241bfbd7c4e6009c515ba06344e7315f0859ee2:Zieleniec | cdc0e6d63972188c5ee24c79d41dd53b54af86ad:Zieleniec | f5fa9ca2ab583841a8a8bb64432b364c8c56bb89:Zieleniec"
"levi","Levi","sum-of-subareas","e96d65bb75c321959b4dd17d447019b469d213d4:Levi | f7b7555de79ed567824f4d6372d455c79513b296:Levin hiihtokeskus, Levi Ski Resort"
"brunni","Brunni","sum-of-subareas","72e893d0a1074923e954ea775e26940d24afd842:Skilift Brunni | 8fec34e7fe7d0b4a818ea1e490e35cbb78316299:Brunni-Holzegg-Rotenflue | e2c5381ad2ac12e1225e345bf583a7817c846649:Brunni-Haggenegg"
"les-angles","Les Angles","sum-of-subareas","26d92b839704dc8b1e3739102bc937e633227534:Les Angles | a2fed1f3149f7c9e4f9ccaac4b8e29f0bfccd632:Les Angles, Els Angles"
"forsteralm","Forsteralm","best-of-duplicates","76cb9d2003ad2fcbc34ef3ec51f202043798a855:Forsteralm | c0c2e75dba8539ddc5b12c1728af28073dc0dbb5:Forsteralm"
"alto-campoo","Alto Campoo","sum-of-subareas","2f9f669fc909285e3940dfbec154b176df562767:Estación de Esquí y Montaña Alto Campoo | e0ad58b20e852d1e065c7dceac65eb63333894ab:Alto Campoo"
"craigieburn-valley-ski-area","Craigieburn Valley Ski Area","sum-of-subareas","318e8c4f03bec36ace32ce16deb53d1c3e436a33:Craigieburn | fee1268565ef3acbef2b19a2aeaa71024a5dd92d:Craigieburn Valley Ski Area"
"terre-ronde","Terre Ronde","sum-of-subareas","2103d82801e77c41fd0e9f4a678a410a5a58ccd2:Terre Ronde | 3273ad481ec0a388816ee0f78f6ab78aef082586:Terre Ronde - La Praille"
"monte-cimone-ski-resort","Monte Cimone ski resort","sum-of-subareas","05146a26e236c050da4f0a2d80c5e4e799fc882c:Cimone, Area sciistica Monte Cimone | ac1cd00ab218a7650a7bfbd5f9344502cc44d17b:Monte Cimone"
"les-rasses","Les Rasses","best-of-duplicates","2783496bfe42f32cc47d3d96c58b0d3a03e64af2:Sainte-Croix / Les Rasses | 901ed48e54ca135e83eeaf2eb4cd32a687cde9af:Sainte-Croix/Les Rasses"
"furx-ski-area","Furx ski area","sum-of-subareas","4476a304771b9178f1b8b6d02c9d6744aa49054b:Zwergberg Furx | 6aae4771f8b894340ccac0aba8817dfbc7a73f0a:Furx"
"tahoe-donner","Tahoe Donner","best-of-duplicates","2bd383b70efdbc19edbba7fcfeca421576ff8e3e:Tahoe Donner Downhill Ski Area | e5228fb52779cc6447962909ee3f57db46571fb1:Tahoe Donner Downhill Ski Area"
"manza-onsen-ski-resort","Manza Onsen Ski Resort","best-of-duplicates","063b66c2fb4a6a1428ac26088f42a1ab3ec71934:Manza Onsen (万座温泉スキー場) | eaf10d4f13db6c8044aa3e3715f54c0c8413f11c:万座温泉スキー場, Manza Onsen"
"menthieres","Menthières","best-of-duplicates","0a1f5548a995c28c05036395e88694db8b3ab2ea:Menthières | 62b93e55431e86781e2d78bed2aa70159bc01066:Menthières"
"kuhtai","Kühtai","sum-of-subareas","204bd8a606de9419155c825f8ba5ecd46345e23a:Kühtai | daee9b8b1042711185b93110232fbe1eba1d2fab:Hochoetz-Kühtai"
"lachtal","Lachtal","best-of-duplicates","b063a6fc6907012f71f581b75275c33d562695fa:Lachtal | b389a0303fd211065022b08f7a565c38c6c76a0c:Lachtal"
"orcieres-merlette-1850","Orcières Merlette 1850","sum-of-subareas","824c7b22068010ed9590671f95a41f7eaf5f3819:Orcières Merlette | f685a9267f57acaa6c93cb5f06ba6a4cb0388b6e:Orcières"
"loveland-ski-area","Loveland Ski Area","sum-of-subareas","06abb69c3c737a1b913b435103393f1375ed6460:Loveland Valley Ski Area | ee75cd89df4c5b3dc295c282d8051c0468a455fd:Loveland Basin Ski Area"
"klausberg","Klausberg","sum-of-subareas","8ed98940b7c222930ed16efefbb13b42e5840a02:Klausberg Skiarena | e07b4716f83b31b6eef84fa1a52df5affaa8cf1f:Klausberg - Monte Chiusetta, Klausberg, Monte Chiusetta"
"skiliftkarussell-winterberg","Skiliftkarussell Winterberg","best-of-duplicates","62f77d21357007224915b789ef5fcfc92c62ac73:Skiliftkarussell Winterberg | d09876081e42349fefcd79d88991e34820af2a16:Skiliftkarussell Winterberg"
"pyeongchang-alpensia-resort","Pyeongchang Alpensia Resort","best-of-duplicates","3a56cc21362ae2c482ae9b791b4c8e7c9869b027:알펜시아 스키장, Alpensia Ski Resort | 6f8cd262b213d55d9eea3734107d2d49eceba77f:Alpensia"
"les-mosses","Les Mosses","sum-of-subareas","bc12236b85cc821b7c4ea75699debedb6e966e3e:Leysin (Les Mosses, La Lecherette) | ce17f9c0fd4234171a27e90cb4cde8ed924a1852:Les Mosses"
"la-grave","La Grave","sum-of-subareas","119f616187063853b3fa0fb012de323c72745eb0:La Grave | afd6906228327dfd1f066efe558a428e7c7c6cb7:La Grave La Meije"
"chamrousse","Chamrousse","sum-of-subareas","adaf3599de90013f1cd1b09e60bd71475d741ae6:Domaine Skiable Chamrousse | cf35c277ce2147943aff2aaa620572cc647a2a1d:Chamrousse"
"atzmannig","Atzmännig","best-of-duplicates","ed1dc3eea539c61f394bd02c508be3f2367859ab:Atzmännig | fb3c861a97f8e339d41c93d1683952970d550eb8:Atzmännig"
"auron","Auron","sum-of-subareas","8972a2f5639f85feaf0c3903974bf1a01be11a9c:Auron Saint-Etienne-de-Tinée | f23d597954a98b529cf904c5f7d0522008afb131:Auron"
"eggberge","Eggberge","best-of-duplicates","ecbebfda150f221304fed001f0c79091f1c7c0fd:Eggberge | fd054fb221b828ba33390fec3045df16257f39e6:Eggberge"
"heavenly-mountain-resort","Heavenly Mountain Resort","best-of-duplicates","53dd0fd9ec1c2ed9709b27830f36dcb87a31f8c3:Heavenly Mountain Resort | d957eff0f25c935fc1f5c50be9a2d24e5df9114e:Heavenly Ski Resort"
"les-diablerets","Les Diablerets","sum-of-subareas","669b5ff8d29a5a73f293dec2f318ed7554c32511:Villars/Gryon/Les Diablerets | afc581b73b49043482ddc47f642af6f11bc23b67:Villars-Gryon / Les Diablerets / Glacier 3000 / Bex"
"boston-mills-brandywine-ski-resort","Boston Mills/Brandywine Ski Resort","sum-of-subareas","b55da97f032f42e414f5fc95f0e303f5d9bb3a73:Brandywine Ski Resort | ff8bcd5f55d99a29a0a02797e2ef72498dc4f63a:Boston Mills Ski Resort"
"great-bear-recreation-park","Great Bear Recreation Park","best-of-duplicates","40d1dd147706e096ee6f1669adc54dd8c9746c6c:Great Bear Recreation Park | b4a1a4dafda419f74fdedf2ffe148fb250f2760c:Great Bear Recreation Park"
"tyrol-basin","Tyrol Basin","sum-of-subareas","170c43f97ddd417dfe5b9b70cbd80cdca9fbee1e:Tyrol Basin | 9ad9c3320dba8e303f81c067ec6b6f8c5c0b47b4:Tyrol Basin Ski And Snowboard Area"
"snowshoe-mountain","Snowshoe Mountain","best-of-duplicates","1facaf3d92da6719b1c7aa95f763fbeda72222b3:Snowshoe Mountain | a5a1c3ca22aca2a7a52742e1a540ff4141f6bc3f:Snowshoe Mountain"
"shiga-kogen-ski-resort","Shiga Kōgen Ski Resort","sum-of-subareas","2bb7e682f85dc2d9624800faa8679df3aacac00b:Shiga Kogen (志賀高原) | 35fdb4af059a1d7ce7c49d2aa81ef434f6abab0d:志賀高原 東館山スキー場, Shiga Kogen Higashidateyama Ski Area | 5b5990a4576a30a186074b8f6af54b6bbf79bced:志賀高原 発哺ブナ平スキー場, Shiga Kogen Hoppo Bunadaira Ski Area, 発哺ブナ平スキー場 | 7b639cf23810cbb092685d18345beaa0ff168b44:志賀高原 タンネの森 オコジョスキー場, Shiga Kogen Tannenomori Okojo Ski Area | 7cb3bbfc34c5eb3b819b85201da6253bc0d79b63:志賀高原 一の瀬ファミリースキー場, Shiga Kogen Ichinose Family Ski Area | 9c8d2ef459fa8691020db504f0118b013a4dc070:志賀高原 一の瀬ダイヤモンドスキー場, Shiga Kogen Ichinose Diamond Ski Area | a751d7dcb2d61c1f992f04171c57bdde16379d28:志賀高原 一の瀬山の神スキー場, Shiga Kogen Ichinose Yamanokami Ski Area | bb3bdda9ca5084eee5983aa37aba1f7ed81e2503:志賀高原 焼額山スキー場, Shiga Kogen Yakebitaiyama Ski Area, 焼額山スキー場 | c66ba6d56328285918d4aa8441d039b642fa2d26:志賀高原 寺小屋スキー場, Shiga Kogen Terakoya Ski Area | ce5f5c9b5f2ce4bf613a88e24bebeedad40f4ad0:志賀高原 西館山スキー場, Shiga Kogen Nishidateyama Ski Area | f03072dfdde3cc6e58571ba9fbb0886779cd05bc:志賀高原 高天ヶ原マンモススキー場, Shiga Kogen Takamagahara Mammoth Ski Area, 高天ヶ原マンモススキー場"
"semmering","Semmering","sum-of-subareas","6c0bde8734e4436f098c6c8da06de10a03caec39:Semmering Hirschenkogel | 8c05826bc20b02620e8ee5098224822f784081ce:Happylift – Semmering"
