pass,roster_name,reason
"ikon","St. Moritz","no match"
"ikon","Valle d’Aosta","no match"
"ikon","Val Gardena/Alpe di Siusi","no match"
"ikon","Zermatt Matterhorn","no match"
"ikon","Val di Fassa/Carezza","no match"
"ikon","Chamonix Mont-Blanc Valley","no match"
"ikon","The Highlands","no match"
"ikon","Coronet Peak, The Remarkables & Mt Hutt","no match"
"ikon","Cortina d’Ampezzo","no match"
"ikon","Grand Hirafu","no match"
"ikon","Mike Wiegele Helicopter Skiing","no match"
"ikon","Mt.T","no match"
"ikon","Cervino Ski Paradise","no match"
"ikon","Val di Fiemme/Obereggen","no match"
"ikon","Bear Mountain","ambiguous"
"ikon","3 Peaks Dolomites","no match"
"ikon","Arabba/Marmolada","no match"
"ikon","Yunding Snow Park, China","no match"
"ikon","Dolomiti Superski","no match"
"ikon","SilverStar Mountain","no match"
"ikon","Rio Pusteria – Bressanone","no match"
"ikon","Niseko Village","no match"
"ikon","Hanazano","no match"
"indy","ani ski resort","ambiguous"
"indy","baldy mountain resort","ambiguous"
"indy","baqueiraberet","no match"
"indy","bear valley mountain resort","ambiguous"
"indy","bethel village trails","no match"
"indy","big powderhorn","ambiguous"
"indy","black jack cross country ski club","no match"
"indy","black mountain of maine","ambiguous"
"indy","black mountain ski area","ambiguous"
"indy","bottineau winter park","ambiguous"
"indy","bruce mound winter sports area","no match"
"indy","caledonia nordic ski club","no match"
"indy","carters xc ski center","no match"
"indy","crosscut mountain sports center","no match"
"indy","crystal mountain","ambiguous"
"indy","crystal ridge","no match"
"indy","destination owls head","no match"
"indy","dog creek lodge nordic center","no match"
"indy","domaine skiable des contamines","no match"
"indy","ejder3200 palandoken","no match"
"indy","enchanted forest xc","no match"
"indy","franconia village xc ski area","no match"
"indy","garnet hill xc","no match"
"indy","great glen trails outdoor center","no match"
"indy","hardwood ski and bike","no match"
"indy","haymaker nordic center","no match"
"indy","high point xc ski center","no match"
"indy","hockley valley resort","no match"
"indy","homestake lodge","no match"
"indy","innsbruck region","no match"
"indy","jackson xc","no match"
"indy","kaunertaler gletscher","no match"
"indy","kimberley nordic club","no match"
"indy","little ski hill","ambiguous"
"indy","little switzerland","ambiguous"
"indy","loge glacier","no match"
"indy","lost trail powder mountain","ambiguous"
"indy","magic mountain","ambiguous"
"indy","magic mountain idaho","ambiguous"
"indy","manning park","no match"
"indy","manning park xc","no match"
"indy","maplelag resort","no match"
"indy","middlebury snowbowl","no match"
"indy","mission ridge","ambiguous"
"indy","mont edouard","no match"
"indy","moose mountain","no match"
"indy","mount baldy ski area","ambiguous"
"indy","nayoro piyashiri ski resort","no match"
"indy","nickel plate cross country ski club","no match"
"indy","ninox snow park","ambiguous"
"indy","northern maine community trails","no match"
"indy","nubs nob 0","no match"
"indy","oberstdorf kleinwalsertal bergbahnen","no match"
"indy","okunakayama kogen","ambiguous"
"indy","onikoube ski resort","no match"
"indy","pass powderkeg","no match"
"indy","paul bunyan ski hill","no match"
"indy","pila","ambiguous"
"indy","portes du soleil","no match"
"indy","powderhorn","ambiguous"
"indy","rangeley lakes trail center","no match"
"indy","rauriser hochalmbahnen","no match"
"indy","red lodge mountain","ambiguous"
"indy","rikert nordic center","no match"
"indy","saskadena six ski area","no match"
"indy","sovereign lake nordic club","no match"
"indy","stoten i salen","no match"
"indy","takasu snow park","ambiguous"
"indy","telemark nordic center","no match"
"indy","the loppet","no match"
"indy","thrill hills","no match"
"indy","trollhaugen","ambiguous"
"indy","turpin meadow ranch","no match"
"indy","val direne","no match"
"indy","washigatake ski resort","no match"
"indy","whitehorse nordic centre","no match"
"indy","whitepia takasu","no match"
"indy","williams lake cross country ski club","no match"
"indy","woodstock nordic center","no match"
"mountain-collective","Alta Ski Area","ambiguous"
"mountain-collective","Big Sky Resort","ambiguous"
"mountain-collective","Coronet Peak + The Remarkables","no match"
"mountain-collective","Panorama Mountain Resort","ambiguous"
